index,title,description,price,shippingFee,totalPrice,shippingFrom,status,imageUrl,productLink
"1","Çay Yapımı ve Su Kaynatma için İndüksiyonlu Isıtma Plakalı 220V Cam Çaydanlık Elektrikli Su Isıtıcısı WAL","Çay Yapımı ve Su Kaynatma için İndüksiyonlu Isıtma Plakalı 220V Cam Çaydanlık Elektrikli Su Isıtıcısı WAL ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 640 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","7009.68","0.00","7009.68","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/S40a1c2b590e04da2ad9e0ebb64e7fa76u.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005010693996309.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-0&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2115931.08%217009.68%21%21%212378.27%211046.44%21%40211b430817708004756623305e4389%2112000053210105477%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=sAVYsK2Bkzj6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010693996309%7C_p_origin_prod%3A"
"2","220V İndüksiyon Ocak 3500W Yüksek Güçlü Çok Fonksiyonlu Akıllı Enerji Tasarruflu Su Geçirmez Dahili Ocak CW","220V İndüksiyon Ocak 3500W Yüksek Güçlü Çok Fonksiyonlu Akıllı Enerji Tasarruflu Su Geçirmez Dahili Ocak CW ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 64304 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","5907.70","0.00","5907.70","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/Se96c12821f684d618de86f30c0bfbc05u.png_480x480.png_.avif","https://tr.aliexpress.com/item/1005009585539992.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-1&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2113426.54%215907.70%21%21%212004.38%21881.93%21%40211b430817708004756623305e4389%2112000049541557380%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=dKhsyv0f9b2q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009585539992%7C_p_origin_prod%3A"
"3","Meiling mikrodalga fırın tam otomatik ev küçük hızlı ısıtma akıllı çok fonksiyonlu döner plaka işık dalga Oven220V","Meiling mikrodalga fırın tam otomatik ev küçük hızlı ısıtma akıllı çok fonksiyonlu döner plaka işık dalga Oven220V ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 605 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","12380.96","0.00","12380.96","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/Sb2bfbd62823f4ceebc0be48611464514Q.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005006707136912.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-2&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2126915.18%2112380.96%21%21%214018.03%211848.29%21%40211b430817708004756623305e4389%2112000038062336176%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=M6LFuFyGLjHp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006707136912%7C_p_origin_prod%3A"
"4","Taşınabilir Kablosuz Araba Elektrikli Süpürge Kablosuz Elektrikli Süpürge Ford MAVERICK BRONCO Transit Flex E-350 E-450 F-650 F-750","Taşınabilir Kablosuz Araba Elektrikli Süpürge Kablosuz Elektrikli Süpürge Ford MAVERICK BRONCO Transit Flex E-350 E-450 F-650 F-750 ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 34, 100003197 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","1315.13","291.26","1606.39","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/S9f509d7cda25468dabbe4067dd9bb925E.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005008412166196.html?aem_p4p_detail=2026021101011520743239241958200002885522&algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-3&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%212739.86%211315.13%21%21%21409.02%21196.33%21%40211b430817708004756623305e4389%2112000045072910956%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=gn7U9KRB6Vpq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008412166196%7C_p_origin_prod%3A&search_p4p_id=2026021101011520743239241958200002885522_1"
"5","220V Duvara monte Profesyonel Yüksek güçlü Otel Ev Banyo Tuvalet Duvara monte Saç Kurutma Makinesi Saç Kurutma Makinesi Kurutma Makinesi C","220V Duvara monte Profesyonel Yüksek güçlü Otel Ev Banyo Tuvalet Duvara monte Saç Kurutma Makinesi Saç Kurutma Makinesi Kurutma Makinesi C ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 614 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","4834.65","0.00","4834.65","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/S9c10faa564704a32a81fbf38c8aab57aV.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005009337543748.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-4&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2110987.78%214834.65%21%21%211640.31%21721.74%21%40211b430817708004756623305e4389%2112000048798636267%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=A5y8HlA3iQlg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009337543748%7C_p_origin_prod%3A"
"6","Yağmur Bulut Hava Nemlendirici Su Damlası Mikro Peyzaj AROMA YAYICI 7 Gece Lambası ile Hava Difüzörü Nemlendirici Ev Ofis için","Yağmur Bulut Hava Nemlendirici Su Damlası Mikro Peyzaj AROMA YAYICI 7 Gece Lambası ile Hava Difüzörü Nemlendirici Ev Ofis için ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 625 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","1579.13","0.00","1579.13","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/Sb05d672b76c241e3b5c5c5724bb0b410i.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005008345665400.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-5&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%212429.45%211579.13%21%21%21362.68%21235.74%21%40211b430817708004756623305e4389%2112000044676519526%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=HSTCuPUc96Hh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008345665400%7C_p_origin_prod%3A"
"7","220V Jiuyang sağlık pot otomatik kalınlaşmış cam çok fonksiyonlu ev elektrikli çay makinesi ofis elektrikli su ısıtıcısı 1.5L","220V Jiuyang sağlık pot otomatik kalınlaşmış cam çok fonksiyonlu ev elektrikli çay makinesi ofis elektrikli su ısıtıcısı 1.5L ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 640 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","3293.32","0.00","3293.32","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/S4621de8d5a334355a7683edcfb30e8e29.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005007975957035.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-6&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%217537.40%213293.32%21%21%211125.22%21491.64%21%40211b430817708004756623305e4389%2112000043113664578%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=7tFt4yzw9KBm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007975957035%7C_p_origin_prod%3A"
"9","Taşınabilir Espresso Kahve Makinesi Isıtıcı Kahve Makinesi Şarj Edilebilir Yoğun Ekstraksiyonlu Espresso Makinesi Seyahat Ofis İçin","Taşınabilir Espresso Kahve Makinesi Isıtıcı Kahve Makinesi Şarj Edilebilir Yoğun Ekstraksiyonlu Espresso Makinesi Seyahat Ofis İçin ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 638 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","1996.15","0.00","1996.15","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/S2f8bc69a7c7d4f25b745780b5b2e08e3X.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005010445260391.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-8&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%214159.02%211996.15%21%21%2189.80%2143.10%21%40211b430817708004756623305e4389%2112000052431676845%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=x3Zp4CZhhltA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010445260391%7C_p_origin_prod%3A"
"10","""Duvara asılı"" Bebek ve Çocuk İç Giyim MINI Duvara monte Mini Tamburlu Çamaşır Makinesi Akıllı Ev Aletleri Mini Çamaşır Makinesi 220v","""Duvara asılı"" Bebek ve Çocuk İç Giyim MINI Duvara monte Mini Tamburlu Çamaşır Makinesi Akıllı Ev Aletleri Mini Çamaşır Makinesi 220v ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 603 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","29777.69","0.00","29777.69","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/S0eac2bd5d70646c4be99ee400eab1c73y.jpg_480x480q75.jpg_.avif","https://tr.aliexpress.com/item/1005007967295971.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-9&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2167676.63%2129777.69%21%21%2110103.10%214445.36%21%40211b430817708004756623305e4389%2112000043065501765%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=0bf3nhoBerw5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007967295971%7C_p_origin_prod%3A"
"11","220V Gemini Ev Kahve Makinesi Yarı Otomatik Ofis Küçük İtalyan Konsantre Buhar AM","220V Gemini Ev Kahve Makinesi Yarı Otomatik Ofis Küçük İtalyan Konsantre Buhar AM ürününü Aliexpress'den  karşılığında satın alın. Daha fazla 6, 638 ve  ürün bulun. ✓Dünya Çapında Ücretsiz Gönderimin Keyfini Çıkarın! ✓Sınırlı Süreli İndirim ✓Kolay İade.","21526.35","0.00","21526.35","Çin","Gönderilebiliyor ✅","https://ae-pic-a1.aliexpress-media.com/kf/Sf7f078802a014e4ba61fd7580ffe4ce7j.png_480x480.png_.avif","https://tr.aliexpress.com/item/1005008628737871.html?algo_pvid=de41e30d-4cee-42bc-842b-b3517dd367eb&algo_exp_id=de41e30d-4cee-42bc-842b-b3517dd367eb-10&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2146796.42%2121526.35%21%21%216986.00%213213.56%21%40211b430817708004756623305e4389%2112000046019389011%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=JsLwWhXyDx8w&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008628737871%7C_p_origin_prod%3A"
